roleName,id,roleType,set,infoValue,isIndependant,requireSeer,moderatorDifficulty,isProtector,gameSpeed,moderatorText
Tanner,1,independant,Extreme,-1,1,0,Easy,0,Faster,You hate your job and want to die.
Auracabra,2,independant,Extreme,0,1,0,Medium,0,Faster,"Hunt for anyone with an aura. If none left, hunt everyone."
Cult Leader,3,independant,Extreme,0,1,0,Hard,0,Faster,"Induct a new player each night, until everyone is in your cult."
Hoodlum,4,independant,Extreme,0,1,0,Hard,0,Faster,Choose two players and outlive them.
Illuminati,5,independant,Extreme,0,1,0,Hard,0,Neutral,"You know everyone’s role, and just need to live to the end."
Lone Wolf,6,independant,Extreme,0,1,0,Hard,0,Neutral,"Wake with the Werewolves and hunt villagers, but win alone."
Necromancer (alt),7,independant,Extreme,0,1,0,Hard,0,Faster,Predict one player to die and cause another player to die.
Vampire,8,independant,Extreme,0,1,0,Hard,0,Faster,
Chupacabra,9,independant,Extreme,2,1,0,Medium,0,Faster,"Hunt for Werewolves. If none left, hunt everyone"
Black Cat,10,teamSwitcher,Extreme,0,0,0,Hard,0,Faster,The team that kills you loses their most valuable player.
Bloody Marianne (Grim Reaper),11,teamSwitcher,Extreme,0,0,0,Hard,0,Faster,The team that kills you becomes your enemy. Seek revenge and kill every night from beyond the grave.
Blighted,12,teamSwitcher,Extreme,0,0,0,Hard,0,Neutral,"If bitten by a Werewolf, you turn into a Werewolf"
Copycat ( new Doppelganger),13,teamSwitcher,Extreme,0,0,0,Hard,0,Neutral,"Join the team of another player, and take on their role when they die."
Flipper ,14,teamSwitcher,Extreme,0,0,0,Hard,0,Neutral,
Grave Robber,15,teamSwitcher,Extreme,0,0,0,Medium,0,Neutral,"When you should die, steal the identity of another player who will die in your place."
Nostradamus (alt),16,teamSwitcher,Extreme,0,0,0,Hard,0,Neutral,Predict which team will win and join that team. You can change your mind but it will cost your life.
Professor Impatience,17,teamSwitcher,Extreme,0,0,0,Hard,0,Faster,"If you are eliminated, players eliminate two players each day and wolves eliminate two players each night for the rest of the game."
Time Bandit,18,teamSwitcher,Extreme,0,0,0,Very Hard,0,Faster,"Steal time from team that kills you: One minute days for Villagers, or 5 Seconds to kill for Werewolves."
Investigator ,19,teamSwitcher,Extreme,1,0,0,Hard,0,Neutral,"if you can find a wolf win with the Villagers, if not you help them stay hidden and win with the Werewolves"
Eye of the Seer,20,specialVillager,Extreme,-1,1,1,Hard,0,Neutral,"When you die, the Seer sees everyone as a Villager."
Oracle,21,specialVillager,Extreme,1,1,0,Medium,0,Neutral,Once per game learn one player's exact role
Outcast,22,specialVillager,Extreme,-1,1,1,Hard,0,Neutral,"If you die, Village celebrates!"
Cupid,23,specialVillager,Extreme,0,0,0,Hard,0,Faster,"Choose two players to fall in love. If one dies, the other dies of heartbreak."
Cutthroat,24,specialVillager,Extreme,0,1,0,Medium,0,Faster,You may kill a neighbor during the day
Hunter,25,specialVillager,Extreme,0,1,0,Medium,0,Faster,You carry a gun. When you die you may kill another player.
Huntress,26,specialVillager,Extreme,0,1,0,Medium,0,Faster,You have a gun and one bullet. You may shoot another player at night.
Innocent,27,specialVillager,Extreme,0,1,0,Very Hard,0,Faster,"If you die, the next day the village must keep killing players until they kill a Werewolf."
Influencer (Rabble Rouser),28,specialVillager,Extreme,-1,1,0,Very Hard,0,Neutral,"One extra vote for death while alive, for life when you are dead"
Magistrate (new Prince),29,specialVillager,Extreme,0,1,0,Hard,0,Neutral,You can veto the decision of one trial per game
Mayor,30,specialVillager,Extreme,0,1,0,Hard,0,Neutral,Your vote counts twice
Revealer,31,specialVillager,Extreme,0,1,0,Medium,0,Faster,"You may gamble that you can find a Werewolf. If you are right they die. If you are wrong, you die."
